"Phrase, Frequency"
"FOR HE WAS CUT OFF,1"
"THEREFORE REMEMBER O,1"
"AND THE KING OF,2"
"AND AFTER THE LAW IS,1"
"AND BEHOLD I PREPARE,1"
"AND BECAUSE THEY TURN,1"
"BEHOLD SAID HE I,1"
"AND FOUR HUNDRED,1"
"NOW TELL US,1"
"AND BEHOLD ALL THIS WAS,1"
"YEA AND REGULATIONS,1"
"AND MANY OF THEM SAW,1"
"THEY SHALL ROAR LIKE YOUNG,1"
"AND WE INSTEAD OF BEING,1"
"AND ALSO THEY ARE CAST,1"
"AND NOW THOU HAST,1"
"WHEREFORE IT,13"
"AND I ALSO BEHELD,2"
"NOW I CLOSE MY EPISTLE,1"
"BEHOLD MY PEOPLE,1"
"NOW IT WAS FOR THE,1"
"LET HIM COME NEAR,1"
"AND THE SUCKING,2"
"AND THUS HE DID AND,1"
"AND NOW ZERAHEMNAH,1"
"THE SALT SHALL,1"
"YEA EVEN HE COMMANDED,1"
"AND YE SEE THAT I,1"
"AND THERE CAME A MULTITUDE,1"
"AND BEHOLD PACHUS WAS,1"
"NEVERTHELESS I SAY UNTO,1"
"NOW BEHOLD THERE WERE TWO,1"
"LOOK UNTO GOD WITH FIRMNESS,1"
"AS MY HAND,1"
"NOW THEY KNEW NOT THAT,2"
"AND WHEN THE JEWS HEARD,1"
"AND REMEMBER,1"
"AND EVEN AT THIS TIME,1"
"WHEREFORE THEY KNEW,1"
"WHEREFORE IF,12"
"AND NOW BLESSED ART,1"
"BEHOLD I AM JESUS CHRIST,2"
"NEPHI TAKETH,1"
"AND LO HE COMETH,1"
"THE WORDS OF ALMA AND,1"
"THE SECOND EPISTLE OF MORMON,1"
"A GOOD TREE CANNOT BRING,1"
"AND ALMA AND AMMON,1"
"WHEREFORE GO,1"
"WHY HAS HE FORSAKEN,1"
"THE ACCOUNT OF ALMA,1"
"AND THEY DID ALSO BURY,1"
"AND IT SPEAKETH HARSHLY,1"
"NOW HOW COULD,1"
"THUS WE SEE,1"
"AND IF THERE IS NO,1"
"WHEREFORE HE,16"
"DOTH,1"
"AND AGAIN HE HAS,1"
"AND HE COMMANDED,7"
"BE WISE IN THE DAYS,1"
"BIND,1"
"WHEREFORE BECAUSE,7"
"I CALL UNTO THEM,1"
"WHEREFORE BY THE,2"
"YE HAVE SAID,1"
"AND HE SHALL PASS THROUGH,1"
"AND THEIR LITTLE,1"
"MAKE THE HEART OF THIS,1"
"AND THEY WERE MARRIED AND,1"
"WHEREFORE THE LORD DID,1"
"AND NOW I WRITE SOME,1"
"AND THEN ALMA CRIED,1"
"FOR BEHOLD EXCEPT YE SHALL,1"
"FOR WHAT COULD I,1"
"WHEREFORE THESE,2"
"AND HE SAID UNTO ME,12"
"FOR MY SOUL,2"
"AND THUS COMMENCED,1"
"AND WE MARCHED FORTH,1"
"WHEREFORE MY,11"
"THEREFORE SHALL THE LORD,1"
"THEN WILL YE,1"
"AND LAMAH HAD FALLEN,1"
"NOW THE LEADERS OF THE,1"
"CONDEMN ME NOT BECAUSE OF,1"
"TOUCH NOT THE,1"
"AND BEHOLD THIS WILL I,1"
"BUT BEHOLD HE DOTH,1"
"FOR BEHOLD GOD KNOWING ALL,1"
"AND NOW AS MORONI,2"
"NOW ALMA HAVING BEEN,1"
"AND THE WILD BEASTS,1"
"WHEREFORE THERE,1"
"AND WHOSO SHOULD REIGN,1"
"WHEREFORE YE MUST PRESS,1"
"AND I WILL MAKE ALL,1"
"AND HE SPAKE UNTO ME,4"
"MINE,1"
"HEARKEN O YE,1"
"FOR MINE OWN SAKE,1"
"NEVERTHELESS THEY WOULD STRUGGLE WITH,1"
"NOW ZEEZROM SAITH AGAIN UNTO,1"
"I WOULD THAT YE,1"
"THEREFORE KISHKUMEN WAS NOT KNOWN,1"
"AND CORIANTUMR GAVE SHARED,1"
"BUT BEHOLD THE RIGHTEOUS THE,1"
"WHEREFORE HE DID OBTAIN,1"
"AND THEY DENY THE,1"
"AND AFTER THIS MANNER WAS,1"
"TOUCH NOT THE THINGS,1"
"YEA WELL,2"
"YEA THE WORK SHALL,1"
"OH MY SOUL ALMOST,1"
"YE SAY THAT HE,1"
"FOR THE LEADERS,1"
"AND THUS NOTWITHSTANDING THERE BEING,1"
"AND BEHOLD IF YOU,1"
"AND HELAMAN AND THE,1"
"WHEREFORE THE BOOK SHALL BE,1"
"WHEREFORE HOW GREAT,1"
"THE SHOW,1"
"WO UNTO SUCH FOR THEY,1"
"AND MANY SIGNS,1"
"THEY WERE SLOTHFUL AND,1"
"O MY BRETHREN I,1"
"AND RIGHTEOUSNESS,2"
"BEHOLD FOUR HUNDRED YEARS,1"
"AND THE MULTITUDE DID SEE,1"
"YEA MY HEART,1"
"NOW ALMA SEEING,1"
"YEA WHO CAN,1"
"AND BECAUSE OF THE,7"
"THEREFORE IF IT WERE,2"
"AND THOU HAST BEHELD,1"
"AMEN BEHOLD NOW,1"
"AND JACOB AND,1"
"BEHOLD I MAKE AN ABRIDGMENT,1"
"WHEREFORE IT WAS WISDOM IN,1"
"BEHOLD AT MY REBUKE,1"
"AND NOW MY BELOVED,23"
"AND BEHOLD I AM ALSO,1"
"FOR IT IS I,1"
"BEHOLD YE SEE THAT,2"
"FOR BEHOLD HAD THE,1"
"AND HE WILL,2"
"WHEREFORE AS,2"
"THEREFORE THIS WAS THE CAUSE,1"
"WHEREFORE AT,1"
"AND AS FOR THOSE WHO,1"
"AND THEIR JUDGES AND THEIR,1"
"NOW THIS CHANGE,1"
"BUT WHO,1"
"AND THEN SHALL BE BROUGHT,1"
"BUT BEHOLD IF THE INHABITANTS,1"
"AND THERE WERE EXCEEDINGLY SHARP,1"
"NOW WAS NOT THIS,1"
"FOR THE LORD GOD HATH,1"
"AND AFTER THE HOUSE OF,1"
"BEHOLD WILL,3"
"BEHOLD I AM AMALEKI,1"
"AND NOW BECAUSE THOU HAST,1"
"NOW THIS ACCOUNT,1"
"AND THUS THE NEPHITES,1"
"A CITY,1"
"GRAFT IN THE BRANCHES,1"
"NOW THIS MELCHIZEDEK WAS,1"
"AND THE KING DIED,1"
"THE WHOLE FACE,1"
"WHEREFORE OUR FATHER HATH NOT,1"
"AND HE DID MAKE WAR,1"
"AND INSOMUCH AS THE,1"
"BEHOLD I AM A DISCIPLE,1"
"BUT BLESSED,2"
"TAKE THEREFORE,1"
"BUT BEHOLD THE TREE,1"
"AND THEY SHALL KNOW THAT,1"
"THROUGH THE WRATH,1"
"AND BECAUSE THEY DESIRED,1"
"AND AFTER ALMA HAD,1"
"AND THUS HE WAS,3"
"YEA THEY DURST,1"
"BUT WHY,1"
"AND NOW BEHOLD MY PEOPLE,1"
"FOR DO YE NOT REMEMBER,1"
'"NOW THE HIGH PRIEST''S NAME',1"
"SOME WERE LIFTED UP,1"
"AND I ENGRAVED,1"
"TO COME FORTH,1"
"BUT IN THE GIFT,1"
"WHEN YE ARE,1"
"WITHOUT ME THEY SHALL BOW,1"
"AND NOW THE BROTHER OF,1"
"AMMON ANSWERED AND,1"
"BUT BEHOLD ZION,1"
"KNOW YE,14"
"FOR IN THAT DAY FOR,1"
"AND THEY DID MURMUR BECAUSE,1"
"AND NOW ALMA WAS THEIR,1"
"AND BEHOLD AS,3"
"AND THUS MY FATHER LEHI,1"
"BUT BEHOLD,197"
"AND BEHOLD AN,1"
"MY SOUL,3"
"YET AMMON AND HIS,1"
"YE CANNOT SAY THAT YE,1"
"AND BEHOLD THEY WOULD,1"
"WO UNTO HIM THAT,1"
"AND JACOB,1"
"THEN SHALL THE LEARNED,1"
"AND AFTER REJECTING,1"
"DO MEN GATHER GRAPES OF,1"
"BUT NOTWITHSTANDING THEIR RICHES OR,1"
"HEARKEN UNTO ME O,1"
"THEREFORE YE MUST ALWAYS,1"
"KNOWEST THOU THE MEANING OF,1"
"AND AGAIN THEY WERE WROTH,2"
"AND NOW WE ONLY,1"
"AND THOSE MEN AGAIN,1"
"BUT BEHOLD PAHORAN WOULD NOT,1"
"WHEREFORE DO,2"
"FOR IF A,1"
"THE WHOLE FACE OF,1"
"FOR IF I,2"
"AND NEPHI AND LEHI,1"
"YEA AND THE DAY,1"
"THEREFORE THERE SHALL BE ONE,1"
"YEA EVEN THOSE,1"
"AND HE SHALL SNATCH ON,1"
"BUT BEHOLD WHY DO YE,1"
"FOR THOU DIDST NOT GIVE,1"
"WHEREFORE I SPEAK UNTO,1"
"AND THIS WILL,1"
"AND HE THAT FIGHTETH,1"
"BUT AMMON RAISED HIS,1"
"THEN JARED,1"
"BUT HE KEPT,1"
"AND IF CHRIST HAD NOT,1"
"NEPHI ALSO TESTIFIED OF THESE,1"
"FOR BECAUSE THEY ARE,1"
"AND THIS HE SAID UNTO,1"
"YEA THOU ART,1"
"PREPARE SLAUGHTER,1"
"AND THERE SHALL BE A,3"
"AND THERE WERE MANY MIGHTY,1"
"NOW THEIR RULERS AND,1"
"AND THUS COMETH ABOUT,1"
"AND THESE THINGS ARE,1"
"IN THE SAME DAY,1"
"BEHOLD MY SOUL DELIGHTETH,2"
"NEITHER DID,2"
"NOW I DECLARE UNTO YOU,1"
"NOW THE LEADERS OF,1"
"NEVERTHELESS THIS DID NOT,1"
"AND THE WHOLE FACE OF,1"
"WHEREFORE BY,4"
"WHEREFORE ALL THOSE WHO,1"
"AND I BEHELD THAT THEIR,1"
"WHEREFORE DIG,1"
"NOW THE NUMBER OF THE,1"
"THEY SHALL FEED,1"
"NOW THESE MYSTERIES,1"
"AND WHEN THE TWO NATIONS,1"
"NEVERTHELESS AFTER MANY DAYS THEIR,1"
"AND MOREOVER HAVE YE SUFFICIENTLY,1"
"FOR THEY ARE CARNAL,1"
"CRY UNTO HIM IN,1"
"AND ALL THESE THINGS DID,1"
"AND THEY SHALL BE GATHERED,1"
"THY MEN SHALL,1"
"AND HE SAID GO AND,1"
"NOW WHEN ALMA SAW THIS,1"
"THE SOUL SHALL,1"
"AND THEY DID LAND UPON,1"
"WHEREFORE LAMAN AND,1"
"NOW THEY WERE SORRY TO,1"
"AND ALL NATIONS SHALL,1"
"THUS GOD HAS,1"
"AND THE POSTS OF,1"
"AND WHOSOEVER WILL HEARKEN UNTO,1"
"AND YE WILL NOT HAVE,1"
"AND ALL FLESH,1"
"BUT AS MANY AS THERE,2"
"AND I KNOW THAT YE,1"
"FOR BEHOLD THE SAME,1"
"BUT BEHOLD I WILL,5"
"AND THEY FELL DOWN,1"
"AND BEHOLD THEY BOTH,1"
"THEREFORE THOSE WHO WERE DESIROUS,1"
"FOR AWFUL,1"
"NOW THIS IS NOT BECAUSE,1"
"PREACH,1"
"O LORD I HAVE,1"
"NEVERTHELESS WHOSOEVER PUTTETH HIS,1"
"FOR SO GREAT,1"
"AND ALMA CRIED,1"
"WHEREFORE WE SHALL HAVE,1"
"FOR THE TIME SPEEDILY,1"
"AND THE MAN SAID UNTO,2"
"NOW THE LAMANITES,7"
"HE THAT WROTE,1"
"BUT BEHOLD I SAY UNTO,6"
"AND BECAUSE OF THIS,1"
"NEVERTHELESS SO,1"
"YEA THEY DURST NOT MAKE,1"
"NOW THERE WERE MANY,5"
"AND SHIBLON,1"
"NOW SATAN,1"
"O YE FAIR ONES HOW,1"
"BEHOLD WHEN YE SHALL REND,1"
"AND WE DID BEAT THEM,1"
"WHEREFORE ALL THINGS MUST,1"
"AMEN AND AFTER THIS,1"
"BEHOLD WE ARE NOT,1"
"AND NOW BEHOLD OUR,1"
"AND THEN SHALL HE SAY,1"
"AND THEY ALSO BEGAN IN,1"
"YEA HE THAT TRULY,1"
"WILL YE SAY,2"
"THE COMMANDMENTS OF ALMA,3"
"YEA BEHOLD THIS DEATH,1"
"AND BEHOLD IT,14"
"WHEREFORE HE SAID IT MUST,1"
"AND BEHOLD IN,2"
"AND BEHOLD THEY WERE ENCIRCLED,1"
"BUTTER AND,1"
"YEA THEN WILL,1"
"NOW MY SON I WOULD,2"
"AND BEHOLD IF,6"
"THEREFORE WHEN HE SAW,1"
"I GAVE MY BACK TO,1"
"AND I ALSO,11"
"FOR BEHOLD AS I,1"
"THEREFORE HE DID,2"
"AND THE MESSIAH COMETH,1"
"O REMEMBER REMEMBER,3"
"AND HE KNOWETH THEIR FAITH,1"
"FOR BEHOLD SAITH THE,2"
"BEHOLD THESE MANY,1"
"AND SHEZ WAS,1"
"THEY SHALL ROAR LIKE,1"
"THEY WEAR,1"
"AND BEHOLD HE,11"
"YEA THEY SHALL NOT,1"
"THEREFORE GO YE,1"
"AND AFTER THESE PLAIN,1"
"AND THOSE WHO,5"
"THIS IS,3"
"BUT BEHOLD THEY WOULD NOT,1"
"AND BEHOLD THE BOOK SHALL,1"
"AND TWICE,1"
"NOW THE PEOPLE OF,4"
"BUTTER AND HONEY SHALL,1"
"NEVERTHELESS WE,1"
"KNOWEST THOU THAT THE,1"
"YEA EVEN THE VERY GOD,1"
"AND OUT OF,1"
"AN ACCOUNT OF THE PEOPLE,1"
"NOW I MORONI AFTER HAVING,1"
"AND NOTWITHSTANDING THIS GREAT,1"
"BEHOLD I HAVE WRITTEN UPON,1"
"THEY ALSO THAT ERRED IN,1"
"AND KORIHOR ANSWERED HIM,1"
"THEREFORE HE IS,1"
"NEVERTHELESS AFTER THEY SHALL BE,1"
"AND ASSUREDLY IT WAS GREAT,1"
"BEHOLD WILL THEY NOT,1"
"AND AFTER THE ANGEL,2"
"AND LAMAN SAID UNTO THEM,1"
"WHEREFORE MY BELOVED BRETHREN PRAY,1"
"NEVERTHELESS YE,2"
"AND THUS ENDETH,4"
"AND AFTER ALMA HAD SAID,1"
"YE ARE PERMITTED TO,1"
"NOW BEHOLD THE PEOPLE WHO,1"
"NOW WHEN THE HIGH,1"
"AND KING NOAH HARDENED HIS,1"
"AND NOW TEANCUM SAW,1"
"BUT BEHOLD TO THEIR UTTERMOST,1"
"AND MUCH SPAKE,1"
"THE BURDEN OF,1"
"AND THUS IN THIS,1"
"I WILL MAKE A,1"
"ADAM FELL THAT MEN,1"
"YEA EVEN THAT GREAT CITY,1"
"AND NOW I MORMON PROCEED,1"
"AND I COMMANDED HIM,1"
"AND WE ALSO BEHELD,1"
"AND BEHOLD TO,1"
"AND HE LEFT HIS,1"
"AND MY SOUL DELIGHTETH IN,1"
"BUT BEHOLD I NEPHI HAVE,1"
"NOW MORONI WAS,2"
"NOW THEIR RULERS AND THEIR,1"
"AND I WAS LED,1"
"NOW IF KING,1"
"AND THEY STRAIGHTWAY,1"
"AND HE DID CAUSE,1"
"AND IN THE SIXTY,1"
"FOR THINE IS THE KINGDOM,1"
"FOR THE FULNESS OF,1"
"BRING THEM HITHER HAVE,1"
"FOR IF THERE,3"
"AND I WOULD NOT,1"
"YEA THE PROPHET ZENOS,1"
"I WILL SEND HIM,1"
"YEA EVEN AMALICKIAH,1"
"AND UNTO HIM WILL,1"
"BUT BEHOLD AS,4"
"AND BEHOLD THE RECORD,1"
"BUT BEHOLD AN,1"
"AND IF YE HAVE NO,1"
"AND THEY WENT AND BOWED,1"
"BEHOLD IS THERE NOT AN,1"
"AND THE MAN SHALL SAY,1"
"THOU SHALT NOT KILL THOU,1"
"AND THE LORD WILL SURELY,1"
"AND NOW OMER,1"
"WHEREFORE I NEPHI,4"
"BEHOLD THEY SHALL,1"
"THEREFORE YE MUST,1"
"AND HE KEPT IT,1"
"AND THEY SAID,11"
"WHEREFORE THEY THAT,1"
"IN A,1"
"YEA I DID REMEMBER,1"
"AND WHEN HE HAD,11"
"AND HE WILL TAKE,1"
"THAT YOUR,1"
"SEEK NOT AFTER RICHES,1"
"AND BEHOLD I HAD GONE,1"
"FOR THEY WERE,1"
"YEA AND THEY DID,3"
"HEARKEN UNTO ME,4"
"AFTER MY SEED,1"
"AND NOW BEHOLD THIS WAS,3"
"WHEREFORE THE WICKED ARE,1"
"AND OTHERS,1"
"AND IF THEY BE,1"
"AND NOW BEHOLD ONE,1"
"WHEREFORE WHEN I,2"
"I REJECTED MY REDEEMER AND,1"
"AND ZEEZROM BEGAN TO,1"
"IF YE WILL NOT,2"
"AND THE ROBBERS WHO,1"
"AND THUS MY FATHER HAD,1"
"YEA AND IT SHALL COME,1"
"AND THIS WILL I,1"
"AND YET I BEING OVER-ZEALOUS,1"
"THEREFORE THOU ART CONDEMNED,1"
"DO YE SUPPOSE THAT BECAUSE,1"
"AND THIS WAS THEIR FAITH,1"
"BUT BEHOLD THIS MARCH,1"
"I HAVE COMMANDED,1"
"JOY,1"
"AND HE PREACHED MANY,1"
"SAY UNTO THE RIGHTEOUS,1"
"AND THERE WAS A GREAT,2"
"BUT VERILY I SAY,1"
"AND ALMA SAID UNTO HIM,1"
"AND NOW BEHOLD IS THE,1"
"AND I DID READ MANY,1"
"WHEREFORE MY BRETHREN HEAR,1"
"WHEREFORE I SHALL,1"
"NOW AARON BEGAN TO OPEN,1"
"NOW WHEN AMMON AND HIS,3"
"THE WORDS WHICH ALMA THE,1"
"AND I AM ABOUT TO,1"
"AND BEHOLD THOU ART NOT,1"
"BEHOLD HE OFFERETH HIMSELF,1"
"FOR I HAVE EXHORTED,1"
"THE SPIRIT AND THE,1"
"AND AS WE HAD,1"
"AMEN THE PROPHECY,1"
"AND ALMA SAID IF THOU,1"
"NOW SATAN HAD GOTTEN,1"
"AND AGAIN YE SHALL,1"
"BUT GREAT,1"
"WHEREFORE THESE THINGS GO FORTH,1"
"BUT HE CAUSED THAT THERE,1"
"O MY BRETHREN IF YE,1"
"YEA LORD THY WATCHMEN,1"
"NOW LAMONI,2"
"AND THERE WAS NO INEQUALITY,1"
"FOR WE ARE CAST OUT,1"
"AND ALSO OTHERS WHO,1"
"BUT UNTO,1"
"AND ALSO AGAIN THE,1"
"NOW THESE SONS OF MOSIAH,1"
"FOR IF WE,1"
"AND AGAIN I KNEW THAT,1"
"NOW THE AMOUNT,1"
"AND I GIVE YOU THESE,1"
"FOR BEHOLD THE PROMISES OF,1"
"FOR IT IS,4"
"NOW WHEN THE QUEEN,1"
"NOW WHEN KING NOAH,1"
"BUT BEHOLD IT SHALL,2"
"FOR BEHOLD THERE IS A,2"
"AND THEN AMMON SAID,1"
"AND THUS HAD CORIANTUMR PLUNGED,1"
"YEA MINE,1"
"YEA AND THEN SHALL,2"
"AND ALSO MANY WITHDREW THEMSELVES,1"
"BUT ALMA WENT FORTH AND,1"
"NOW THE CITY,1"
"AND GIVE,1"
"THE LORD SENT HIS,1"
"WHEREFORE WE SEARCH THE,1"
"THEREFORE AMMON BECAME A SERVANT,1"
"THY POMP IS,1"
"AND I PERCEIVE,1"
"NOW BEHOLD THIS LACHONEUS THE,1"
"THE SALT SHALL BE THENCEFORTH,1"
"AND I SAID YEA,1"
"FOR SALVATION COMETH TO NONE,2"
"CRY UNTO HIM WHEN,1"
"NOW WHEN HIS,1"
"FOR IF YE,4"
"AND THERE ARE MANY,3"
"BUT WILD BEASTS OF THE,1"
"WHEREFORE HE GAVE,1"
"AND THEY SHALL COME,1"
"FOR I WILL RISE,1"
"YEA AND THERE,3"
"AND AGAIN BECAUSE,1"
"YEA I WOULD,3"
"AND HE BEGAT SONS,1"
"AND HE TURNED FROM THEM,1"
"AND MORONI HAD PREPARED,1"
"NOW WHEN THE PEOPLE,4"
"YEA METHOUGHT I SAW EVEN,1"
"FOR HOW,1"
"KNOWEST THOU THE MEANING,1"
"LOOK UNTO ME AND,1"
"AND IF IT IS NOT,1"
"AND BEHOLD HE SHALL BE,1"
"AND WITHIN THE BALL WERE,1"
"BUT IF THE GENTILES WILL,1"
"NOW THIS WAS,20"
"AND BEHOLD I ALSO THANK,1"
"THUS THEY WERE LED AWAY,1"
"AND BLESSED IS,2"
"THEREFORE THE LAMANITES COULD HAVE,1"
"AND IT CAME TO PASS,1107"
"BUT BEHOLD THE NEPHITES WERE,1"
"THE FATHER HATH MADE,1"
"AND NOW IF CHRIST,1"
"AND NOW CONCERNING,2"
"AND MANY THINGS,1"
"FOR THE LORD SAID,1"
"THOU ALSO SAYEST EXCEPT WE,1"
"AND YE ALL ARE,1"
"AMMON,2"
"BEHOLD HE OFFERETH HIMSELF A,1"
"AND A LIMNAH OF,1"
"NOW WE SEE THAT ADAM,1"
"THY HAND SHALL BE LIFTED,1"
"O THEN DESPISE NOT AND,1"
"AND HE DID EXECUTE,1"
"AND HE SELECTED,1"
"AND HE BEHELD THAT THEY,2"
"YEA TODAY IF,1"
"REMEMBER THAT HIS,1"
"AND AMALICKIAH WAS DESIROUS,1"
"AND HAVING TARRIED IN THE,1"
"AND THOU ART LIKE UNTO,1"
"AND MOREOVER I SAY,5"
"AND BEHOLD OTHERS,1"
"AND HEARTHOM WAS THE SON,1"
"THEREFORE IF THAT MAN REPENTETH,1"
"AND AFTER THEY DID ENTER,1"
"AND THE LAWS OF THE,1"
"AND THERE WERE ALSO,1"
"YEA EVEN WO UNTO,1"
"YE KNOW,2"
"AND THEY BEGAN TO SLAY,1"
"AND I HAVE NONE,1"
"O THEN MY,2"
"AND NOW LIMHI WAS DESIROUS,1"
"THUS WE SEE HOW QUICK,1"
"YEA AND MY WORDS FILL,1"
"AMEN NOW AS I SAID,1"
"AND THE MISTS,1"
"AND BLESSED ARE THEY WHO,1"
"AND THUS THEY DID MURMUR,1"
"BUT THOU WHEN,2"
"NOW THOSE WHOM HE HAD,1"
"BUT BEHOLD MORONI AND HIS,1"
"WHEREFORE AS THOSE WHO HAVE,1"
"BUT BEHOLD YE CANNOT,1"
"THE WAY IS PREPARED AND,1"
"NOW AMULEK SAITH AGAIN,1"
"AND THEN COMETH,3"
"BUT THERE IS,3"
"NOW KORIHOR SAID,1"
"NOW WE DO,2"
"BEHOLD DOTH HE,1"
"DO YOU LOOK FORWARD WITH,1"
"AND AT THE,1"
"AND THE WORLD BECAUSE,1"
"NAY HE HAS,1"
"O THE WISDOM OF,1"
"O MY SONS I WOULD,1"
"YEA AND YE ALSO,1"
"AND MOSIAH CONSULTED,1"
"NOW WHETHER THERE SHALL BE,1"
"AND THE DAY SHALL,1"
"NOW THE DAUGHTER OF JARED,2"
"AND BEHOLD YE MAY BE,1"
"O YE FAIR ONES,1"
"O THEN YE,1"
"AND HAD THEY BEEN,1"
"UPON THE,1"
"AND HE SPAKE WITH POWER,1"
"AND NOW MORONI I,1"
"BUT NOW I GO,1"
"AND AFTER THEY HAVE HARDENED,1"
"WHEREFORE THEY THAT FIGHT AGAINST,1"
"AND I HAVE,5"
"AND AS THE,3"
"AND THE DISCIPLES SAW AND,1"
"BUT BEHOLD YE HAVE REJECTED,1"
"THEREFORE IS THE ANGER,1"
"BEHOLD HATH HE,1"
"AND WE CAST,1"
"AND ALL THESE THINGS MUST,1"
"THE WOLF ALSO,1"
"AND AMULON COMMANDED THEM THAT,1"
"FOR WERE,1"
"THUS THE LAND ON THE,1"
"HOW KNOWEST,3"
"NEVERTHELESS THEY DID FIND,1"
"AND THE POSTS,1"
"NEVERTHELESS AND NOTWITHSTANDING,1"
"BUT BEHOLD WHY DO,1"
"O THE GREATNESS AND THE,1"
"AND THE REST LEFT,1"
"BUT WHO MAY ABIDE,1"
"AND WO UNTO THEM THAT,1"
"THEY ROB THE POOR,1"
"THE WORDS WHICH JACOB,1"
"AND THE FATHER SAID REPENT,1"
"AND NOW WE CAN,1"
"AND THE ANGEL,20"
"I WOULD NOT DWELL UPON,1"
"AND IF IT SO BE,10"
"BUT BLESSED BE,1"
"YEA AND IN FINE THEIR,1"
"AND THEY MUST,1"
"AND IF THESE THINGS,1"
"O GOD,1"
"AND YE HAVE SET,1"
"THE LORD WILL ENTER INTO,1"
"FOR BEHOLD IF THE FLESH,1"
"EVERY ONE THAT,1"
"BUT AMMON WITHSTOOD HIS,1"
"BRETHREN ADIEU,1"
"AND THUS FAR,1"
"AND HAS HE,1"
"NEVERTHELESS BECAUSE THOSE MIRACLES,1"
"FOR THE TIME COMETH,1"
"FOR IT COMETH TO PASS,1"
"AND THEY BUILT,1"
"AMEN FOR IF YE FORGIVE,1"
"AND THOSE PRIESTS WERE ORDAINED,1"
"BUT BEFORE YE SEEK,1"
"AND ALMA WENT,2"
"CONSIDER THE LILIES OF THE,1"
"BUT MY RIGHTEOUSNESS,1"
"IF YE SHALL SAY THERE,1"
"AND WHERE IS,1"
"YEA EVEN DOTH NOT ISAIAH,1"
"AND BEHOLD HE SPAKE UNTO,1"
"AND I WOULD THAT YE,3"
"AND GIVE HEED,1"
"WHY DO YE TEACH,1"
"BUT OUR KINGS AND OUR,1"
"FOR HE SAID THAT,1"
"AND LEHI PRESSED UPON THEIR,1"
"BUT BEHOLD PAANCHI AND,1"
"AND THEY GRANTED,1"
"YEA THERE ARE,1"
"YEA I WOULD THAT YE,1"
"AND YE YOURSELVES KNOW THAT,1"
"NOW THE CHIEFEST AMONG,1"
"THEREFORE THEY DID AS AMMON,1"
"BEHOLD I TESTIFY,1"
"I AM MORMON AND,1"
"BUT MY SALVATION SHALL,1"
"FOR BEHOLD THIS LIFE IS,1"
"AND BECAUSE OF THE STRICTNESS,1"
"WILT THOU MAKE ME THAT,1"
"ALL WE LIKE SHEEP,1"
"HAVE THEY NOT,2"
"AND ALMA BAPTIZED ZEEZROM UNTO,1"
"THESE ARE THEY THAT ARE,1"
"NEVERTHELESS HELAMAN,1"
"AND HE CAME FORTH,1"
"YEA AND WE ALSO SEE,1"
"THEREFORE I WOULD,4"
"BUT THE SON OF,1"
"DOTH SALVATION COME BY,1"
"NAY I HAVE NOURISHED,1"
"YEA AND IN FINE,2"
"FINALLY,1"
"AND THUS ENDED THE WORDS,1"
"WHAT SAY YE,1"
"WHY WILL YE YIELD YOURSELVES,1"
"AND THE NAMES ARE,1"
"NOW THIS RESTORATION,1"
"NO LONGER DROOP IN,1"
"AND THERE WE,1"
"THOU SHALT NOT,8"
"AND AGAIN THOU,1"
"BUT THE KING STOOD,1"
"AND HE ALSO TOLD HIM,1"
"O MY BELOVED BRETHREN TURN,1"
"BEHOLD I WILL STIR UP,1"
"THE ACCOUNT OF THEIR SUFFERINGS,1"
"NOW ALMA HAVING BEEN WARNED,1"
"AND I KNOWING,1"
"AND THE LIGHT OF ISRAEL,1"
"NOW IF YE GIVE PLACE,1"
"AND THUS ENDED THE SIXTY,3"
"SO THEY BROUGHT THEIR LITTLE,1"
"NOW REPENTANCE COULD NOT,1"
"FOR THE LORD HATH,3"
"AND WHEN CORIHOR,1"
"YEA YE WILL LIFT HIM,1"
"BUT WHOSOEVER REMAINETH AND IS,1"
"AND WE WERE TO,1"
"AND WHOSO,7"
"FOR AS I SAID,1"
"AND IT WAS FORBIDDEN THEM,1"
"BEHOLD WE LAY,1"
"NOT EVERY,1"
"OH REMEMBER AND TAKE,1"
"AND WO UNTO THE DEAF,1"
"BEHOLD THESE THINGS,1"
"AND IT SHALL BE,4"
"DO THEY REMEMBER THE,1"
"THEREFORE THEY HAVE,1"
"THEREFORE CHEER UP YOUR HEARTS,1"
"SEEST THOU THAT YE,1"
"AND AMMON DID PREACH UNTO,1"
"FOR HE WAS DETERMINED,1"
"AND ALSO I,2"
"LISTEN UNTO THEM AND,1"
"IN MINE EARS SAID THE,1"
"WHEREFORE THE LORD COMMANDETH,1"
"HE WAS OPPRESSED AND HE,1"
"AND AFTER THEY DID,1"
"WHEREFORE BECAUSE THOU,1"
"BEHOLD THE LORD THE,1"
"AND SO GREAT WAS,1"
"AND THE POWERS,1"
"AND THEY THAT WILL HARDEN,1"
"THE SHOW OF THEIR COUNTENANCE,1"
"FOR THOUGH THY PEOPLE,1"
"AND BEHOLD IF A WOLF,1"
"TURN YE,1"
"THOU ART,2"
"AND I SAW WARS BETWEEN,1"
"BEWARE OF FALSE PROPHETS WHO,1"
"WHEREFORE SAITH THE,1"
"BUT THE THINGS,2"
"AND HE THAT SAITH THAT,1"
"AND NOW HOW MUCH MORE,1"
